Origin 3-Digit,Dest 3-Digit,Origin Zip,Dest Zip,Lane Volume,Warp Rate,Cheapest Non-Warp Rate,Cheapest Non-Warp Carrier
402,331,40219,33182,488,$290.49,$327.42,Forward Air
917,191,91752,19154,487,$457.28,$456.47,XPO Logistics
86,88,8638,8831,487,$145.94,$167.21,JP Express
917,775,91761,77584,486,$410.19,$344.14,XPO Logistics
945,900,94538,90040,485,$700.12,$231.3,Mountain Valley Express
338,330,33860,33030,484,$220.69,$158.09,Specialized Freight Carriers
906,774,90660,77477,484,$403.9,$293.63,XPO Logistics
926,331,92618,33182,483,$406.48,$475.9,STG LTL formerly Frontline Freight
917,922,91761,92223,482,$183.62,$169.92,TOTAL TRANSPORTATION DISTRIBUTION
900,750,90058,75074,482,$403.9,$363.24,XPO Logistics
199,88,19904,8831,482,$408.05,$191.6,ABF FREIGHT SYSTEM INC
87,381,8701,38118,482,$274.36,$289.02,R&L Carriers
601,300,60123,30043,481,$235.59,$233.62,AAA COOPER TRANSPORTATION
923,88,92345,8831,481,$494.95,$485.8,STG LTL formerly Frontline Freight
920,902,92081,90221,481,,$156.24,GlovaLink
87,770,8701,77078,480,$274.36,$311.46,XPO Logistics
471,331,47130,33182,480,,,
450,331,45014,33178,478,$293.84,$405.06,WARD Trucking
770,701,77029,70123,477,$309.6,$220.39,Forward
770,70,77041,7047,476,$290.19,$378.25,SOUTHWESTERN MOTOR TRANSPORT INC
301,301,30122,30112,475,$138.44,$184.31,AAA COOPER TRANSPORTATION
928,891,92806,89118,474,$263.12,$203.92,Mountain Valley Express
481,481,48174,48150,474,$145.94,$159.86,Forward Air
900,921,90040,92154,473,,$156.24,GlovaLink
945,917,94560,91730,472,$705.04,$233.95,Mountain Valley Express
301,302,30180,30265,471,$143,$184.31,AAA COOPER TRANSPORTATION
601,770,60123,77055,469,$235.29,$267.4,Forward Air
87,802,8701,80239,467,$326.68,$400.68,XPO Logistics
330,334,33018,33431,465,$134.6,$158.09,Specialized Freight Carriers
902,926,90255,92618,462,$138.44,$125.52,GlovaLink
770,302,77041,30297,459,$227.81,$221.74,DAYLIGHT TRANSPORT
